Band,F1 Score,Accuracy,Kappa
MLSWI26,0.4455232661626523,0.9014675139282259,0.3915405567551997
MIRBI,0.569899747573767,0.9354639875852838,0.5364086916062606
B11,0.596893377741043,0.9381099879209287,0.5643155433299885
BRBA,0.6006897958227805,0.9374985755812146,0.5674784413649061
SWI,0.5847364782236544,0.9362765796545343,0.5512340378388567
MLSWI27,0.596044067856595,0.9381106094854894,0.5634884888668628
MRBVI,0.6182614379084967,0.9401458190459813,0.5864101641055349
GDVI,0.621226182800281,0.9403496922219482,0.5894426867075484
B12,0.6279677211243059,0.9413684365372224,0.5967135271263567
NBAI,0.6305621660492499,0.9409608973734753,0.5989107315506781
AWEIsh,0.6295948504897539,0.9413671934081007,0.5982853638348781
NBRplus,0.6170610255021167,0.9393313622830479,0.5846974422934142
kVARI,0.6318909736954075,0.9415710665840678,0.6006415157836689
RI4XS,0.6268835055071614,0.9415712737722547,0.5958151583971919
TRRVI,0.6250556391675945,0.9411633202321337,0.5937388649310738
WI2015,0.6235346706429856,0.9407570241975083,0.5920108019173225
IKAW,0.6343016166021698,0.9423855233470008,0.603578931291909
NMDI,0.6287555301659811,0.9421822717355948,0.5980914305017855
MBWI,0.6457680242183271,0.9436071048973071,0.6156006999333911
SIPI,0.642028819325001,0.9436073120854941,0.6119550505896073
PSRI,0.6334364669322733,0.9421820645474078,0.602613567259574
DSWI4,0.6205423720438827,0.9411647705494424,0.589385301211084
IRECI,0.6471977489736612,0.9444209400956796,0.6175606050750376
ARI,0.637105705173597,0.942588982146594,0.6064739827614516
AOT,0.6357971186818931,0.9425885677702199,0.6051926232659517
NDDI,0.6428817087252812,0.9438105636969002,0.6129519242036052
IBI,0.6340245854237223,0.9425885677702199,0.6034929032406083
AWEInsh,0.6361158565733728,0.9421808214182861,0.6052288834038789
NormR,0.6371935515335883,0.942588153393846,0.6065683932894397
VIBI,0.6328701456510493,0.9425885677702199,0.6023793267320753
NBR2,0.640649013938379,0.942588360582033,0.6098949567745194
S2WI,0.6326103347299374,0.9413665718435397,0.601219383347342
NDSaII,0.6412276716715162,0.9431991513571862,0.6109416849883429
OCVI,0.632541822513456,0.942384073029692,0.601915741091284
TCARIOSAVI705,0.6177845455088268,0.9401445759168595,0.5859822066765739
MTCI,0.627151139061054,0.9415706522076936,0.5961112544534094
TVI,0.6368324521007448,0.9421816501710338,0.6058900913248895
MSI,0.6265349120587078,0.9411629058557598,0.5951751417107096
NWI,0.6218154325905746,0.9405523222687936,0.5901891613337166
BAI,0.6275992731354003,0.9409604829971014,0.596059422936921
MNLI,0.6105778729873078,0.9387205715078949,0.5779519725697257
FCVI,0.6282689217204334,0.9419779841832538,0.5974785267966592
SR2,0.6259251541465526,0.9411626986675727,0.5945910064366453
MCARI705,0.6313922213918367,0.9425881533938462,0.6009657607865646
BCC,0.6296083058197205,0.9409598614325405,0.5980320591672259
kEVI,0.6410916127903066,0.9438107708850874,0.6112651305444381
NSDSI2,0.6338709106984968,0.942792440946187,0.6034917632094665
GRNDVI,0.633338138098721,0.9417745253836607,0.6022110919710086
GARI,0.6185104246743534,0.9401458190459813,0.5867007524270222
VARI,0.639797206514753,0.9429956925575931,0.6093575205336403
ARVI,0.6334672266271215,0.9421804070419121,0.6026435419340122
SWM,0.6345932225886153,0.9425887749584069,0.6040481424118928
SCL,0.6347354483347234,0.9419775698068799,0.6037311509913081
CVI,0.6374659764398042,0.9431995657335601,0.60725412231683
TriVI,0.6510959916651375,0.9450317308708327,0.6217885313140974
DSI,0.6382837723401724,0.9421814429828469,0.6072986653198356
DSWI1,0.6284368261732359,0.9419777769950668,0.5976278750860007
IAVI,0.6318587604057828,0.9425887749584069,0.6013868390990221
B8,0.6326779199619958,0.942181028606473,0.6018881671641025
NSDSI3,0.6190851940386339,0.9403494850337614,0.5873755444758999
RCC,0.6331365461017813,0.9419775698068799,0.6021750763865095
MCARIOSAVI705,0.6389354704601257,0.9429956925575931,0.6085351415790143
S2REP,0.641718102028962,0.942385108970627,0.6107666855533582
DBSI,0.6452607919010781,0.9436066905209334,0.6151099054790948
TCARI,0.6330629139072848,0.942385108970627,0.6023863516953529
BAIM,0.6368542190607995,0.9425889821465938,0.6062367371569566
GSAVI,0.6314225060070238,0.9417749397600346,0.6003656479739465
SR555,0.6257433033445396,0.9415706522076939,0.5947185071019726
GNDVI,0.6226194542317867,0.9409600686207276,0.5912283387709107
NSDSI1,0.623120722519326,0.9411629058557598,0.5918894268367266
TTVI,0.624873692858962,0.9413667790317268,0.5937739553932081
B3,0.632570858485163,0.942384073029692,0.601952011243288
CIRE,0.6273985278223411,0.9411631130439467,0.5960345609506574
SI,0.6318413889021693,0.9423846945942531,0.6012452647629061
GCC,0.6361587844181587,0.9417741110072868,0.6049678107548937
GBNDVI,0.628596494157151,0.9413674005962877,0.5973516931299618
RGBVI,0.6196156022287088,0.9399423602463882,0.5875747506759299
ARI2,0.6279620641710453,0.9415700306431329,0.5968895482892391
CSI,0.6258740204402242,0.9413671934081005,0.5947044910705511
MCARI,0.6304634100595402,0.9419773626186929,0.5996161146834543
WVP,0.6260278409784095,0.9409596542443536,0.5945634544519057
NSDS,0.6235154198437375,0.9409596542443536,0.5920964326503213
GVMI,0.6352688282129835,0.9423846945942529,0.6045491599895232
SAVI2,0.630362499772913,0.9417743181954737,0.5993458453765466
BWDRVI,0.6242301421825575,0.9413665718435398,0.5931374945639903
NormNIR,0.6279538727977595,0.9411639417966946,0.596569166839657
BIXS,0.6257495800997953,0.9411643561730685,0.5944161581335528
NHFD,0.6218445367943506,0.9411637346085076,0.5906771258243821
VIG,0.6277635296542409,0.9417747325718476,0.5968236998719018
S3,0.641835386318887,0.9434034389095272,0.6116464507124125
B2,0.6450729696267221,0.9444217688484274,0.6155317526645068
SR3,0.6319085379741086,0.9423853161588139,0.6012958169749404
VARI700,0.6239481276942578,0.9407564026329475,0.5923771776720429
mND705,0.6171520609801482,0.9409592398679797,0.5860006388376162
NIRv,0.6337607661412578,0.942384280217879,0.6030802520682625
NBRSWIR,0.6414099691088939,0.9436058617681855,0.6113826065310717
B9,0.6261981602940325,0.9413667790317268,0.5950207524547987
AFRI1600,0.630314376707891,0.9417739038190998,0.5993030511692072
RENDVI,0.630462912950206,0.942181028606473,0.5997783306472764
SeLI,0.6220865994199328,0.9413669862199138,0.5910408070621884
PISI,0.6344198373761708,0.9423844874060661,0.6037302354580749
DVIplus,0.6365566219607632,0.9423844874060661,0.6057770998272213
RGRI,0.634525007771529,0.9434021957804054,0.6045928509214795
GRVI,0.6361920698132495,0.9427930625107479,0.6057687323311457
NDMI,0.6350470837302912,0.9423846945942529,0.6043598242795706
NRFIr,0.6296122456200932,0.9415708593958806,0.5984568174265925
MCARIOSAVI,0.630276264420757,0.9417745253836607,0.5992586399744713
GEMI,0.6302821751336022,0.9417741110072868,0.5992671855047325
RVI,0.6209137289019511,0.9409598614325405,0.5896278147919312
ND705,0.6342037383563857,0.9429954853694061,0.6039789038913013
REDSI,0.6265212001092652,0.9415710665840678,0.5955002831131307
SEVI,0.6209237832163399,0.9407570241975085,0.5894748145485303
WI2,0.6413607634187601,0.9434032317213402,0.6111766489059068
NDTI,0.626977636580601,0.9417734894427259,0.596091056562232
MTVI1,0.6309500044307236,0.941977155430506,0.6001086146391309
NDPI,0.6285480872971351,0.942181028606473,0.5979284186379895
NDYI,0.6184075458722289,0.9409594470561669,0.5871942068981472
NDREI,0.6230835886589291,0.9403482419046396,0.5912620735661054
B1,0.6335826178932586,0.9429952781812192,0.6033461698957954
MuWIR,0.6419162327916287,0.9442166525433386,0.6123616502467628
RI,0.6470677266193194,0.9444205257193057,0.6174507570397761
B6,0.6267821897600667,0.9419775698068799,0.5960464876800584
SR,0.6189937865273905,0.9403490706573875,0.5873246043586334
SARVI,0.6198272606297306,0.9411635274203206,0.5887228681428338
NDSI,0.6276524144536567,0.9417741110072868,0.5967280340263355
MSAVI,0.6345966480278884,0.9423846945942529,0.603926099150613
NBSIMS,0.623439797499468,0.9409590326797928,0.5920258498502725
kNDVI,0.627287741301774,0.9413665718435397,0.5960914002597544
TCARIOSAVI,0.636564452446502,0.942792233758,0.6061197145183824
GLI,0.6352958513018699,0.9429952781812192,0.6050299634173602
NDWIns,0.6392277429735551,0.9429950709930324,0.6088870403652031
B4,0.6181938150663566,0.9405531510215415,0.5866969016625888
CIG,0.6354840232389252,0.9431993585453732,0.6053788137610964
BLFEI,0.6185951490582933,0.9407566098211344,0.5872541073178635
BNDVI,0.6380248317808401,0.942385108970627,0.6071961322121963
B8A,0.6290997482033066,0.9417741110072869,0.5981181849173254
MGRVI,0.6154866081620467,0.9399425674345752,0.5836111887398585
DSWI3,0.6300585841967619,0.9419773626186929,0.5992075575055049
NIRvH2,0.633170150146948,0.9423851089706268,0.6025479258392537
BITM,0.6400525376906396,0.9434028173449661,0.6099118867978567
GM1,0.6345870718703834,0.9421808214182861,0.6037369926103568
NDPonI,0.6288525685478076,0.9417745253836607,0.5979073669863746
NDVI705,0.6206482046676186,0.9403484490928264,0.5888982995264296
TCI,0.6367345708592144,0.943199772921747,0.6065770193544141
MNDVI,0.6270007692822261,0.9417747325718476,0.5961351643097054
ExGR,0.6220523303332619,0.9411639417966946,0.5908674656843133
MCARI2,0.6136434352533504,0.9399417386818273,0.5818521892582516
VI700,0.633423125084582,0.942384487406066,0.6027739435866708
IPVI,0.6323201555382354,0.942792233758,0.6020823907457931
BAIS2,0.6192739872455466,0.9409598614325405,0.588053842803326
NDCI,0.6310718901341449,0.9421814429828469,0.6003464977265022
kIPVI,0.6259712992965983,0.9415698234549458,0.5949371428478128
MBI,0.6331534470047975,0.9425881533938462,0.6026937496836904
NLI,0.6311468141852872,0.942385108970627,0.6005991830554402
TCI_R,0.6223282135945142,0.9413667790317268,0.5913381854810202
TGI,0.6335530845334767,0.9421822717355948,0.6027329957296315
TCI_G,0.6308648780526873,0.941977155430506,0.6000003013629666
NDGlaI,0.6135320794806359,0.9399421530582013,0.5817357665244793
NormG,0.6198999680357632,0.9409602758089145,0.5886446013720471
