Reducer,Composites,F1 Score
max,12,0.6316083829356807
mean,12,0.6437161632151105
median,12,0.6560741868752693
min,12,0.6401108994295328
sampleStdDev,12,0.6126848708224103
skew,12,0.5764651060533803
max,6,0.628021789930769
mean,6,0.6446145181313456
median,6,0.6464088950262118
min,6,0.6484643563678907
sampleStdDev,6,0.6386523760541832
skew,6,0.5316979501254973
max,4,0.6305052911794563
mean,4,0.6356214118640018
median,4,0.6370720535172589
min,4,0.6374981411067134
sampleStdDev,4,0.6328615438976317
skew,4,0.5387000674570196
max,2,0.6299111376836409
mean,2,0.634448571123573
median,2,0.6344944580105443
min,2,0.6427584254450005
sampleStdDev,2,0.6256164803974835
skew,2,0.5917169211332286
max,1,0.5639697604798803
mean,1,0.6237731243317396
median,1,0.6102701208587542
min,1,0.6202296813114073
sampleStdDev,1,0.602789575193921
skew,1,0.556382931507682
